,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1
3841,0.3566961449857523,0.6666666677777783,0.005112498016620255,0.16868141681939125,0.0011618348141452385,0.3365657965207929,1.0349028273405052,4.422180013214063e-06,1.6871106296358895,0.0944179270796392
1666,0.4551961755994557,0.1512876417261407,0.42226789305429796,1.072116473649126,0.0065680818559494735,1.4997774712127883,2.30424104310685,6.4584647431283635,0.03585076995575692,0.1050916507719333
4098,0.6666666677777862,0.6666666677777822,0.6976986859733393,1.4054213109274791,0.20216699091406273,0.9643415511643972,1.1573381370332814,6.6666666777777825,0.4647779751826625,0.13252428037316638
8322,0.04820532065333144,0.27247615858670765,0.05219156844444263,0.03445584868361624,1.3718076519399247,1.0103667391148135,0.0013562864941607405,0.06686547001444322,1.1774585463704308,0.30168176324048784
3717,0.666666667777783,0.0467921001880906,1.2669008337489855,0.587826140944949,5.94480209634347e-06,6.919910270728238e-05,0.7525018771185983,6.6666666777777746,0.22749974503985815,0.034373377585362665
7687,0.05990882809665411,0.2140513460637288,0.32139448717724733,1.321625575420516,0.05502067924881526,0.00010301030467070179,1.7928624574788885,6.6666666777777674,0.7447401015249372,0.043241040633886604
3339,0.6666604084989168,0.6666666677777775,0.18927467440329473,0.06822654900983167,0.2820255149204793,1.4455194922245147,0.7587785309447642,1.7886962120382985,0.28149777606984694,0.03197307200409699
8205,0.13924083635026901,0.6666666677777775,0.9905017305018864,0.8806464872562825,1.4520900943475032,0.36305505397434434,1.7743878518990728,0.03667173821499341,0.3438496900145133,0.0010605407829784696
9102,1.5883328106448814e-08,1.4597501594438542e-08,1.3085440784279035e-07,1.2120223057433421,2.3762002281665532e-08,0.8457355870995282,0.059852927784573545,0.06335772694893868,0.1616394473617858,0.3506780565939071
9357,0.3794168437130418,0.5002770892614243,1.5000000012499992,1.4999581105887114,1.1697666511733733,0.026643206794386004,1.9881457144105295,6.66665369090203,0.14103063560971252,0.03904978021627111
6416,,,,,,,,,,
3347,0.6025512734119417,0.08009432121183134,0.6936433705918916,0.12138582981374253,0.030886261281702042,0.8062858167799057,2.9005040624343854,0.13563547202877918,0.9799991993119181,0.8550686179494508
6804,0.6666666677777767,0.2972615095946328,0.2225222997945899,1.5000000012499926,0.005020437912181014,0.04611402543047106,1.4223551139642212,6.6666666777777746,0.42952590231502974,0.17274670677684015
8725,0.36831794763643266,0.4365350061282679,0.8823321769514991,0.5409222555233606,0.10791938233231844,1.5000000012499966,1.6267237267355392,6.6666666777777674,0.007489569076301067,0.007546456310155191
9109,0.6666666677777814,0.11755291530199959,0.5833114402598361,0.43098042000343023,0.00025186919865974376,1.5000000012500059,1.5958634221514005,6.6666666777777595,0.18132028795378977,0.09514075457213958
