,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B
3841,0.0022545773383328346,0.5000000024999922,0.0007755410000449943,0.03822236184481932,9.090909091735591,1.0010664327821726,6.179053953246129e-08
1666,0.18751145955793935,0.5000000025000109,2.2888849923381875,0.019782523540280744,2.013454567383388,0.18803335418743222,5.685457584341114e-07
4098,0.13390493924641764,0.16293323721256955,0.2311244967577989,4.166666668055566,1.1489994403762247,4.665032809135023e-05,0.11810681505966976
8322,0.09483429018662479,1.7304348420433715e-05,0.9253676117534798,0.7855557586593481,0.9068301077764229,1.1630438176774416,7.81732697461328e-08
3717,0.00047197801445613964,0.004702472397595326,3.8275181147166126,6.020433574026426e-05,0.04077250732725377,0.8229377013423128,0.004551293906927966
7687,0.03037902058617259,0.500000002499994,0.7280801103763552,0.004964407058012189,1.927987745317545,0.7942539900820956,1.5420641841506555e-08
3339,0.08288914092643682,0.0027838189096386842,0.016566675300270034,4.166666668055555,1.2608748149336548,0.30902768496251964,0.07535558943339554
8205,0.3409241912280083,0.0023237470368258416,1.7364394352781907,0.01992922904692767,8.649379192521732,4.015875058702763,0.07097752135604533
9357,0.29805305630633777,0.4838870914969462,4.165893142181455,0.6585381719892669,1.602782573578586,0.26035204327168254,0.040732019476103845
3347,0.4586627006751551,0.17188569657289696,0.8636489768491558,2.1625218633035135,2.3188897505697676,0.980010112587282,0.003533764105326506
6804,4.43349999810083e-05,0.0307625783767598,4.430078080875465e-05,0.31793349034792706,0.00023077222569409757,1.4115810515556961,6.034599908322779e-06
8725,0.39371510088674433,0.5000000024999993,0.849915560489769,1.0656776229716838,1.4335895862849715,0.4524808198912923,0.5000000024999993
9109,0.5000000025000064,0.10857507570401653,3.360112904616272e-06,4.166666668055548,1.9590942037105563,0.19021984387066246,0.0012027495533745432
8216,0.42274873387025047,0.5000000024999975,0.7246787460994509,0.08278940475721697,2.0467658725915094,0.10244203627935432,1.4618749408996736e-06
5276,0.4645830890622255,0.3680077432197686,0.05486624962701503,1.0982671250277323,0.23082006754823386,0.6117196013705046,0.02329029841549371
3101,0.25229607566513756,0.5000000025000002,0.21742631496468073,4.166666668055518,0.8081843543379924,0.2689086559753006,1.5774704679357955e-07
3360,0.42638300773283294,0.3584711716954654,3.7373265128671256,0.6761756742950749,0.5216893678925295,0.02697448249684229,0.3068132022178315
2467,0.5000000025000029,0.5000000025000011,0.4004580232604602,0.012338490346036703,1.7061193326390978,0.7094821919720194,0.0004987790991678611
4132,0.35076945278380733,6.299264843830981e-06,0.254350648793888,0.31605881429268523,1.4567942499768076,7.184596989874338e-06,0.11440104016496855
5157,0.08566063591588849,0.4578624704997117,0.8750570799550912,2.1971427782796136,1.387620989146464,0.6298574200590888,0.38128219463752355
3110,0.16332672912632645,0.2563082089761146,0.0020257215260226593,3.249478506626385,0.9034283313282866,0.0001553511889374312,1.7771265001607436e-05
8103,0.2869655116580327,0.49999955317006967,1.7394543230328692,0.2723304987287439,1.1737360668170653,0.8997324214153989,0.49999913616035047
5161,0.23064481464756142,0.5000000025000002,4.166666668055555,3.693504928486997,0.6232410330874022,0.008194178762173864,0.0011795598280311072
8106,0.10540746715021858,0.5000000025000002,3.0041847587746178,4.166666668055558,3.223145379172294,0.10417720140659442,0.0042012623707673785
