,ktr,gam,slope_ven,B,Xl1,B0,p1,bi
3841,0.46656940787573337,0.6296174196360145,0.0014188160763674235,0.8945060149664935,4.847161163993296e-07,1.6749653442298318,0.06797870912753311,0.5393538216906982
1666,0.1835719167899198,0.6011409047112646,3.54764285950995,1.6871615955849313,0.34992442715119815,0.2146690706164846,0.2314648103361869,0.06299006500454657
4098,0.1264967515577193,0.029574570012338007,1.0207323320286392,0.9589360438494167,0.16929283846447343,0.3907807748160041,6.33886869082363e-06,0.09516172770613328
8322,0.11782056580194908,0.3406939911569254,0.537620795268396,0.26781579358121677,0.4999840481157859,1.1790435112349962,0.03464107783351659,0.0007420273692786113
3717,0.17509972534392354,0.6666132698692474,4.285702898599953,0.6575202237214152,0.741235560059688,0.01848424300363085,0.3092732120301259,0.006237024432797297
7687,0.527325796117692,1.194581798670564e-07,4.59826729757032e-05,8.893399890859483,0.037993460901980775,0.817039010302961,1.5447659235846795e-06,0.00026261502717587077
3339,0.6666666677777814,0.011133691943898731,0.8614205997496116,2.865516941767108,0.40497298587617536,0.286226923754616,0.002347469937544469,0.07098663914829212
8205,0.20859331185491567,0.6160941775466133,1.3997906153842314,1.1453549666902467,0.023863625972950917,0.5250927041739035,0.015412911196849871,0.17440256188138367
9102,0.5442304056081618,0.19774262112070456,0.0353306174909296,2.599060322275315,1.8445537415096215e-06,5.853957923008016e-06,0.12432119935163119,0.0954380899944334
9357,0.2824935674901894,0.5688317074520368,4.285714286734692,1.1996535134854327,0.06654142446322413,0.21777911684186063,0.0013599552899051202,0.03976618461022482
6416,,,,,,,,
3347,0.6610501886429004,0.6069522580625607,0.9048004796288653,1.4502331536810837,0.084744882113969,0.9800021125124307,0.11302514483381161,0.14850787368917087
6804,0.666127541237739,0.6509528670649065,1.9611139024461879,1.3493899094076065,0.7956545979572727,0.003638527870437851,0.052120039037872955,0.11473745210315427
8725,0.07434557507963531,9.07403831226108e-06,0.32783368097668364,1.7633327879156422,0.013954888570970263,1.024283934617133,0.006198127487495337,0.427161681316906
9109,0.47965068815304474,0.30281963794202094,2.6027696802301143,1.3052220145838602,0.8001361160074849,0.002629902080149772,0.06708464738250788,0.007325650311756083
8216,0.43453832774789447,0.5989098137905863,2.972552695568318,1.372472831600069,0.298151625031017,0.3072672778401254,0.03033650671780639,0.17710891724593517
5276,0.00022391223334070683,0.6666617136152461,4.215554243739211,4.462534107791599,0.3986592147028699,0.5533618430721531,0.5633732240366359,0.03394703333873818
3101,0.0009004337039901502,0.4597919909701182,2.9270171818535258,2.32105471495872,0.21550791346806458,1.2363045622511954,0.01619968374792277,0.1799693531078762
3360,0.11775161809343573,0.0011247927351202116,2.372980883464381,1.4977782318337682,0.8000237864870166,3.526770836554858e-06,0.11834605420610328,0.25107895920146583
2467,0.19022664821794763,0.6666666677777806,3.15308777174851,1.32329578774153,0.28850165421777507,0.9110640614480141,0.02543844165314606,0.006921411237902651
4132,0.03210187975474017,0.6666666363823648,3.1297919099175187,8.768387190784564,0.169353195838502,4.514830578437075,0.13585975643594725,0.6666666677777735
5157,0.08219146158690412,0.6666666677777814,2.069868936750297,3.5359173408580085,0.5011638123065411,4.152438103270228,0.05109190787487902,0.5775720455231522
3110,0.5010699100526568,0.2967032442632027,3.6395420355061745,0.7700695508012092,0.7358222215333383,0.08123566002346387,0.15449576983882488,0.05413226255547145
8103,0.46246154357295827,0.25888287377528024,1.5689979417522928,2.8217054430861572,0.11100030952475698,0.9105492073304088,0.10264979464716378,0.28943460536884325
5161,0.17936860220038053,0.6666666677777727,2.940821734966833,0.5737189640442011,0.8499445685857339,0.1191360135113505,0.05399335695876643,0.0001549548593423172
3114,0.18641303552335214,0.4984654171110949,4.2399635193109795,0.6059254007065019,0.6002520220563322,3.618573566453282e-05,0.24018851330478627,0.1892957688107758
8106,0.09058444623879523,0.6666666677777712,4.285714286734692,2.662613261329297,0.29845152163459654,0.1825734164465179,0.024987593024805552,0.003527242771285328
3500,0.12310130409550071,0.48701839533749663,2.7196203073490057,6.2169160984184835,0.9378263581824798,0.0028734787242382185,0.4014509645087753,0.26429851617080613
3631,0.6666666677777767,0.10351745560132221,2.0369838244831504,8.518928686325227,0.6104354737318188,0.06457031670267507,0.04624467685709226,0.006468963940970117
6450,0.21834578875544286,0.6666665692315767,3.8072358727045508,1.1050808754456982,0.27256046790930016,0.444329451228466,0.004846267180246181,0.01986772116478771
6067,0.5215758059462647,0.331553750809899,2.2730709762940084,1.4296505984291001,0.6893812242261811,0.0007954717225362141,0.07142964028311947,0.002470417650316382
8242,0.6064970805896043,0.3939603109748289,0.7469773623025244,0.5931897670118778,0.004603012637088979,0.38831369980897174,0.01591208564603768,0.08741352789053208
2101,0.00021866492885979342,0.5682678652875724,2.404747273557368,1.299815027629603,0.025133796436830922,2.576455694040067,0.00011686456140348107,0.0033610084400769852
3895,0.24839556512493996,0.5340777163485442,3.0951520464707993,1.3225620744432178,0.800016718381211,8.56858324547632,0.04604216167396807,0.010004398412668859
2104,0.6076156850391995,0.0035920574729782196,0.06775167049763796,0.25873356034279243,0.052543172125780156,0.31402388661263425,0.0017979462060360623,0.4317715276601828
2105,0.6398644974855962,0.2476653053977418,3.1425656473908163,0.4552122961855854,0.0750316384161472,1.4228227127615294,0.017344630040740425,0.04221918202414028
