,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1,bi
3841,0.4033469658777949,0.6666666677777735,0.06456792128833494,3.3052978364968837,1.6219332107008664,2.2657933603102367,0.5845356165983528,0.029322784217368333,0.02883601723657485,0.03799875850602581,0.022333272247225696
1666,0.2999811617270695,0.2915607496149951,0.01086103158306771,0.06035622311011635,0.04717641066944708,0.00262961284048936,0.8260906750703925,0.16454553529160643,0.0373110310177319,0.1429603653472496,0.44393901868301555
4098,0.5188513105733574,0.666152718479557,0.009322967909495808,0.24805517075914008,3.233189122673408,0.0937432397758614,0.6004165239416214,0.026657478974721913,0.0003140078316615855,0.06099207063647658,0.31736384069118656
8322,0.5643218729657756,0.15976802835849735,1.5021877266253771,0.6727614164225477,1.725687478562595,1.6191542097951759,0.5181819300993715,0.014244573858196247,0.0010079100531267006,0.0178380251207507,0.21127526628084245
3717,0.09960552558748065,0.00661337336970833,1.2628290886237525,1.8332916854735912,0.011772897981876595,0.07492002128678531,0.5513879717346812,1.6597423942351706,0.024045520011364976,0.13736259270153717,0.666666667777776
7687,0.32451086368457427,0.4164018883311813,1.4797026028090134,0.08300631767553636,0.01210829569885188,0.044504006038660934,0.8367757926899394,0.5091775763358068,0.7084323985718155,0.27555142179098585,0.6666319700188327
3339,0.07731725717220317,0.32202613483140924,0.13198608161907013,0.09476389785462545,0.9781173447404007,1.4416733524395207,8.887649917231501,3.201578813230122,0.12697801534420441,0.0898400308416953,0.3274867404357414
8205,0.17430551639008335,0.4961880616432392,1.0480543036797614,1.6467835564886757,1.1583692682907822,1.4307208455600429,1.7085982448870949,0.051800738876146835,0.04415082914336893,0.23299803784092601,0.2841918150777998
9102,0.12718931713331708,0.3850240047273808,0.7541095545734902,4.014370186500257,0.3447877226031435,0.11040803589435773,4.545351532290366,0.05244055185036219,0.0007257171768667841,0.48112573494765143,0.00032212383500099435
9357,0.29729954864463404,0.4359544374084948,0.10411021933663041,3.1330569222847657,0.5185110256738077,1.5508537261078967,0.8044421299807442,0.09652491998499407,0.0211745975909913,0.035232118075253636,0.26493966082066067
6416,0.6496296735952426,0.5153401641359331,0.18113130674281647,1.6736529428536406,1.1831832235311166,0.9922345871433975,0.7611037698680857,0.12813521452344448,0.06525779370108253,0.11282281558356058,0.3376318248945338
3347,0.19273299552412881,0.6663280959472048,0.039829735533281695,0.21938596957888334,1.6007008922318096,2.218589216111726,0.7037657088417547,0.006355715216175579,0.0029695002238500625,0.0955472396622583,0.022878621697954488
6804,0.1094423125523183,0.6515707606602108,1.3446442315919052,0.35777272877994526,3.1883782827873737,0.2900216170473025,2.8275242755971455,0.06537961794881852,0.0002949908714666222,0.2001220910350676,0.018103546478837756
8725,0.00845672248000558,0.6666631008534106,0.1311352461104169,0.3107451391165739,0.9761733773230676,0.014909883016615848,9.164239884428817,3.38053759030773,0.018883311134588483,0.03092619355473467,0.6663481980357315
9109,0.6666666677777783,0.09505500998055033,4.239654959718119,0.1993187576762192,0.0008993425471708608,4.285714286734692,1.9436401413221247,0.17275358409047673,0.009307483042408369,0.1857194913108824,0.020545577410158694
8216,0.14974769113586,0.5547287601673042,0.8423717057937775,2.912588901286774,0.1653462351796672,0.01867550121825184,0.8913304490852679,1.9517688623555722,0.2863282628960251,0.00311554727424502,0.26013535194249876
5276,0.1962340806745628,0.6245446297404504,0.8249264705028818,1.6816069139116363,0.9416804266073966,1.5565820730056164,0.43127899277714543,0.2854267746561296,0.03930496952851628,0.1176044511318383,0.03618861068960457
3101,0.06994330722838417,0.5127143274360996,0.36856606780576556,0.9147127832639586,1.0000093749577679,3.681468568824849,0.6091301563749967,0.22183079557285515,0.022822626015920507,0.021740105023855524,0.6325186702016883
3360,0.5013633277455247,0.1893504484036671,1.2425166932778444,0.6968412284776861,1.6020152299818078,0.19634336556880888,2.4991234686793486,0.14421755904609115,0.005500687329302311,0.8729968235462664,0.666666667777776
2467,0.6666649178249182,0.17533529373959994,0.07849118306140793,4.285704711755959,0.23612912588694762,0.0931422001007847,1.148869786157862,0.5939144961731581,0.4051988101432161,0.49788224645005996,0.6666615731612653
4132,0.036682617187175505,0.437845065136523,1.8177122151065463,0.19903764859480935,0.024289893834060695,0.0018082099684069719,3.2629808601765338,5.352517998708426,0.008385254511328603,0.0019306757209439484,0.0002328401902560103
5157,0.009103948323447218,0.5926834778078095,0.09718473256400474,3.553330564919581,1.367197615207056,0.07638637658982966,7.811546881991456,3.8763361242826058,0.014810818353232749,0.03152216240856897,0.6666666677777767
3110,0.11209009558185827,0.4199651101254096,1.5007778788670154,0.05492651774883089,0.7931498934203663,4.285713690295213,0.662630146690602,4.507126970312052,0.08218589519564992,0.08875459886456043,0.4704907322473566
8103,0.1682254815101559,0.6543116311886751,0.9620020627388738,1.1952000264975022,0.7779694380328134,3.9376050752650293,0.47764503248101603,0.0706468546843702,0.039753847763838696,0.053245387715402215,0.0979927262313443
5161,0.6666539443074748,0.3847058283217611,0.757412599681052,0.7140464322459896,0.027242110178288228,1.5470297148225969,0.2347184699487559,0.3391280714355437,0.0139828948971466,0.0007878705410890169,0.1862681565377823
3114,0.25847108704927796,0.11824597550291915,4.281917476250463,0.05882393118883119,0.8853258888737634,3.939637807818479,0.6881119747572434,0.7771341867371439,0.055352104033033554,0.016135361775198396,0.6666373816053517
8106,0.35360734060401905,0.6006533088954963,0.0046892257467409226,4.05893015858394,0.46039947145995064,4.08284860821443,0.6835057639164642,0.04800622287433083,0.015178917131745844,0.12391700711818926,0.48705146260799753
3500,0.5213151500458607,0.6666666636640832,0.6239270886359634,0.01988373331820772,1.6920891886922371,0.007925029583933913,0.5358666515864459,0.2264137516371023,0.00010944413872966815,0.1605471646031694,2.8001049938895655e-05
3631,0.6666666677777767,0.06064993524352196,1.3813648657912205,2.4113646366522894,0.9049439242335745,4.28571424964762,8.563062935135989,0.942669617012779,0.15809372543285072,0.4228390335020497,0.020178837056723554
6450,0.10647777249184984,0.6666661428905382,1.1326932384191384,3.832259461488908,2.6457787749494055,3.059668794182689,3.0819876597204754,0.211761964605226,0.01717031775804078,0.288101059171079,0.21813023072830096
6067,0.3438338853654628,0.196657881478618,1.0209323844574534,0.5395818475935302,0.1563268492653265,0.6761679372872715,0.5247853288072767,0.30841173751782125,0.018600412382779558,0.022452488550260646,0.1284753364631541
8242,0.023516783616252486,0.5102367732526704,0.09384671618374126,0.4765333375282555,1.2611691297847036,0.44749454824204415,3.9117372845977605,0.0368107203387541,0.0006405560853417254,0.031673983438233265,0.338118157741604
2101,0.6666439239148714,0.5009090798522549,0.06606311801371191,0.4220234358137153,0.883516841316358,0.5815647665396957,1.1603906762689964,0.16162880011125427,0.019906010489842564,0.011635904284665648,0.22457744828797122
3895,0.6664986330653299,0.6638180195678345,0.23218501398688507,3.707216785321528,0.0203408014782457,0.20190431387651425,1.5655527820755324,0.21342965771685246,0.012159564609332377,6.77534506317646e-05,0.002285333304430689
2104,0.13016416367265882,0.6666666677777767,0.06225344276971824,1.6685222987908486,0.2086426475045013,0.06686583904697942,0.29371871612638123,0.06700593474579089,0.01325711708407025,0.009737047824171384,0.0006288242461035123
2105,0.16293845975547222,0.11066841053359168,0.9169113972405839,0.16870455168838594,0.1857654417440574,3.453563223684015,0.22987801495931837,0.22787217389814474,1.4131699932548463,0.007596860111537151,0.0959737321147742
1978,0.29390319839679563,0.6666656059389428,1.1382385120183096,0.41947828559959777,2.693577479342961,1.865057311844796,0.3499578392901556,0.059365076637767744,0.00048471646941161206,0.13365608294737857,0.0028486196057446954
6074,0.12118181596090934,0.5146046981301734,1.899552734733034,3.155971549925065,4.285714286734687,0.7857794372591866,0.8239166972134351,0.02390857871032604,0.0005002110088018032,0.21784432052562658,0.2896932979705298
9145,0.07897537430102852,0.6254252193556237,2.9230458104440067,3.830835820694423,0.672590906390379,3.807724623419838,5.2853953008458445,0.6572654251907739,0.19581800968203839,0.060421293408418536,0.47709964713679875
2111,0.6245484741872459,0.6105653263338839,0.4309088279348683,1.0897733621916987,2.06939480893974,1.6554717643810755,0.1020942233938377,0.017752696989066237,0.008269763938671487,0.008621523111867353,0.0335783638001569
5568,0.6666576946621603,0.39124325628465756,0.5938214177427332,0.03943944370993861,0.7552250324098287,1.004645891959788,0.6507243349465174,0.020741453436662654,0.0003277703829011946,0.28374506449414016,0.4607641505488594
