,blasts_train,leuk_train
3841,48.24135868100111,0.0
1666,90.78390850094566,0.0
4098,85.76196461059868,0.0
8322,49.949276684892844,0.0
3717,246.80195781324343,0.0
7687,4.604098544752544,0.0
3339,41.42014582525471,0.0
8205,142.6747736028095,0.0
9102,301.65737982289204,0.0
9357,90.69641939278169,0.0
6416,11.86614348778382,0.0
3347,64.80196969772676,0.0
6804,40.23758092966418,0.0
8725,215.34463291642393,0.0
9109,199.7567922122843,0.0
8216,7.907121127123206,0.0
5276,29.587593514468864,0.0
3101,157.91862370159248,0.0
3360,32.77013380188826,0.0
2467,9.570773953963364,0.0
4132,30.93988596378328,0.0
5157,20.081294312170584,0.0
3110,27.32546336238719,0.0
8103,76.74707492150223,0.0
5161,345.11819311604216,0.0
3114,58.807707538775325,0.0
8106,9.762921704701325,0.0
3500,69.20780197032573,0.0
3631,361.00616113013035,0.0
6450,69.56687683165201,0.0
6067,27.23509571879974,0.0
8242,17.146520034418707,0.0
2101,51.21072923180896,0.0
3895,95.11642636906032,0.0
2104,9.95585985578629,0.0
2105,97.49997339764172,0.0
1978,61.093492628736854,0.0
6074,23.469425271867536,0.0
9145,75.27201682838889,0.0
2111,13.725111228191228,0.0
5568,656.2993020611972,0.0
3266,10.854276899723526,0.0
3652,17.686099157691324,0.0
2886,29.1207714764991,0.0
4935,17.667896374089963,0.0
6086,39.332684850788766,0.0
1100,15.7323559041701,0.0
8013,49.463684228937254,0.0
4046,71.9858811091695,0.0
6735,46.334619834997085,0.0
9553,35.93451935695559,0.0
4181,29.003292389090515,0.0
8917,49.692225985409415,0.0
8793,10.907262161772435,0.0
7643,90.15541520470688,0.0
7773,83.29778027106772,0.0
9823,552.0207244307987,0.0
7908,644.2644749148438,0.0
4838,284.7553638167371,0.0
5478,44.882621144729406,0.0
6374,44.25776357456331,0.0
7402,87.75254699618199,0.0
3947,291.5683675723991,0.0
2927,42.884566694431925,0.0
1393,30.686294078799595,0.0
5874,35.119357919837284,0.0
7537,93.08509949253411,0.0
3447,247.25259337388377,0.0
9851,92.34962317734367,0.0
6780,95.14074049019672,0.0
8574,50.83629319818966,0.0
