,blasts_train,leuk_train,neut_corr,blast_corr,neut_mape,neut_corr_2,blast_corr_2,neut_fvu_r2,blast_fvu_r2,frac_unexplained_variance_neut,frac_unexplained_variance_blast,model
3841,12.051554587324738,0.8098236936528862,0.002352185853467238,0.8543838198781538,1.1145533161228895,0.002352185853467238,0.8543838198781538,0.9999944672217107,0.27002828833041437,0.9956081425615321,0.23169196209390824,m1
1666,2.3145266038473804,1.2966502950045806,0.4727029744509184,0.9999999999891983,1.2597908372410307,0.4727029744509184,0.9999999999891983,0.7765518979452544,2.160338574697107e-11,0.7695656051038661,0.0355022331828838,m1
4098,8.814137977146327,0.4956625618908521,0.49517988619679476,0.9619301387459529,1.1639242058264019,0.49517988619679476,0.9619301387459529,0.7547968803061293,0.07469040817219175,0.7230939437015451,0.10596366666993381,m1
8322,0.000581787285215,0.5057528856198017,0.48550275805344384,,2.6255391499989584,0.48550275805344384,,0.7642870719224992,,0.8751665621270798,inf,m1
3717,1.958341324651068,0.5378237949346727,0.2994515218953689,0.9989025238889282,inf,0.2994515218953689,0.9989025238889282,0.9103287860345474,0.0021937477683292572,0.8876346139886927,0.006120074138117565,m1
7687,1.428511560343967,0.4866100065588208,0.3996258604736839,0.9638850661068075,0.38731779636609287,0.3996258604736839,0.9638850661068075,0.8402991716406677,0.07092557933627541,0.8192615732019642,0.24149648260785272,m1
3339,11.288435072412211,0.2041414334107217,0.749932451714102,-0.9924920450656828,0.5896865944057584,0.749932451714102,0.0,0.43760131786607603,1.0,0.38355936341448793,0.7281643793375204,m1
8205,2.189759572702421,0.488005064988706,0.9404694669710513,0.9189391618994658,inf,0.9404694669710513,0.9189391618994658,0.11551718169518665,0.15555081672750737,0.10938394012158242,0.16824726267515402,m1
9102,41.0381006763246,1.3182734872893922,0.7861993111225165,0.47081627878814436,inf,0.7861993111225165,0.47081627878814436,0.3818906431904805,0.7783320316280843,0.3456059556300484,0.9332921624384339,m1
9357,2.2253596799004307,1.1997966581234,-0.33706008474009336,0.9998266779809624,inf,0.0,0.9998266779809624,1.0,0.0003466139975529803,1.0275085089728657,0.03281948396164338,m1
6416,7.307340421424759,0.7956530745678502,0.8652622076661831,0.7973699481218764,0.6009009808981057,0.8652622076661831,0.7973699481218764,0.251321311984643,0.36420116583211604,0.24744920823438676,0.5028806755045881,m1
3347,12.589205506505314,1.6706785548167763e-05,0.9999999992030635,0.6726023758307241,1.703375982533187e-05,0.9999999992030635,0.6726023758307241,1.5938730335562923e-09,0.5476060440268653,5.669262356515922e-09,0.4254000208958865,m1
6804,20.221034571522026,1.165983314657954,0.38278769897415316,0.7830944234480438,1.6424149269882244,0.38278769897415316,0.7830944234480438,0.8534735775140732,0.3867631239645759,0.8210076003256507,0.3501107140403824,m1
8725,19.913981441204783,0.7860645724548574,0.552763480565468,0.5015208332713207,inf,0.552763480565468,0.5015208332713207,0.6944525345531495,0.7484768537948401,0.6831499949531561,1.6146078885579636,m1
9109,2.257659135161135,0.3303824846971412,0.7701390994595851,0.9994456326240617,0.3047677166096113,0.7701390994595851,0.9994456326240617,0.4068857674835792,0.0011084274286891072,0.3946895323296723,0.009334821640181772,m1
8216,1.6567226518162452,1.3253338916254374,0.3456991126740775,0.9867650271960589,0.6719711137401075,0.3456991126740775,0.9867650271960589,0.8804921234963554,0.026294781102761178,0.9001431857886592,0.047182134592441215,m1
5276,19.2480492950801,0.1753914398651806,0.03587355683009515,0.702825934117342,0.3451457265898954,0.03587355683009515,0.702825934117342,0.998713087920358,0.5060357063320857,0.8739249198290131,4.293017400531095,m1
3101,2.522643452956764,0.6681872717519478,0.21688982155093844,0.9754485847386156,0.5284910615727528,0.21688982155093844,0.9754485847386156,0.9529588053076021,0.0485000585314318,0.9375049749879075,0.22612238545796634,m1
3360,8.416088513452454,0.3925985424013595,0.7531379578328481,0.974138272534926,1.4820762334469417,0.7531379578328481,0.974138272534926,0.4327832164713671,0.05105462598267019,0.4089896101879169,0.07365394717462705,m1
2467,1.787187787250774,0.78139494968865,0.3101270360393999,0.9889407449821543,0.43836026968633496,0.3101270360393999,0.9889407449821543,0.9038212215174167,0.021996202914141616,0.8848235062900804,0.04603837553184635,m1
4132,2.01656442223149,3.1877950636313943,0.6604231520354937,0.9968302440498296,inf,0.6604231520354937,0.9968302440498296,0.5638412602555032,0.006329464547557229,0.5703688450800779,0.03278635077055035,m1
5157,10.763375720265936,0.8503772852396312,-0.11983327434090464,0.8414715643177817,1.81140945777997,0.0,0.8414715643177817,1.0,0.29192560644458543,1.3669519188481194,0.4165402495123065,m1
3110,1.8864399402990164,0.2502422644649499,0.6986852893726517,0.9992119014722329,inf,0.6986852893726517,0.9992119014722329,0.5118388664142539,0.0015755759562446903,0.4977802571898262,0.005212965391797603,m1
8103,3.106886997155585,0.1061980915468236,0.9484322187065822,0.003957689209936089,0.3116005168536818,0.9484322187065822,0.003957689209936089,0.10047632651930982,0.9999843366961175,0.08809489765922299,1.034222872831548,m1
5161,1.9373201675229044,0.2938524051207039,0.7606445983811823,0.9997662709641424,inf,0.7606445983811823,0.9997662709641424,0.42141979495353,0.00046740344245299603,0.4056650724535707,0.002757178645723397,m1
3114,6.205287878552415,0.2761284795591366,0.7160827097021055,0.9874445193076768,inf,0.7160827097021055,0.9874445193076768,0.48722555286569,0.024953321289231,0.45278903717742525,0.06378531106259085,m1
8106,1.2475614113413107,0.4923242679970429,0.7630640445974811,0.9916883546529227,0.33016605852132414,0.7630640445974811,0.9916883546529227,0.4177332638425334,0.01655420724577894,0.40972742247674443,0.018522559042130658,m1
3500,12.35210270284549,0.6601887722425417,0.7174182215263056,0.9524106327609857,inf,0.7174182215263056,0.9524106327609857,0.48531109542203266,0.09291398660381889,0.44176095830829815,0.075319366728362,m1
3631,8.089279915484608,3.3692478612943364,-0.42329301284151,0.8726418912744717,inf,0.0,0.8726418912744717,1.0,0.2384961295929131,0.9547538207087709,0.23255727608575424,m1
6450,6.414753274273185,1.1127635502153848,0.42336661602549325,0.907806487302097,2.2806807034602734,0.42336661602549325,0.907806487302097,0.8207607084351225,0.1758873816122276,0.7769300761352295,0.24566602728237938,m1
6067,2.445302470216385,0.4465175880279383,0.7086925259607431,0.9999984088738433,inf,0.7086925259607431,0.9999984088738433,0.4977549036473815,3.18224978179682e-06,0.49007994639688246,0.018929969674226683,m1
8242,13.13424509905067,0.2140478443543941,0.8524234098668028,0.5999784734370346,0.28039792071037917,0.8524234098668028,0.5999784734370346,0.27337433031105274,0.6400258314121656,0.2640912893706799,0.9790796461595013,m1
2101,2.0942932949918256,1.2841644151240477,0.5047461040779466,,0.5461648958221434,0.5047461040779466,,0.7452313704181347,,0.7296743827002362,inf,m1
3895,2.150807683920504,0.8501202540940452,0.22804330762151936,0.9995116763373509,0.41135183057197733,0.22804330762151936,0.9995116763373509,0.9479962498490371,0.0009764088652985947,1.2555410722271774,0.00616154664652518,m1
2104,1.5436447518577856,0.1221356600393768,0.3843238536858634,0.9938598467736218,0.569235737058268,0.3843238536858634,0.9938598467736218,0.852295175488047,0.012242604971112958,0.8427751103533463,0.036986249436369176,m1
2105,2.4999711960856774,0.2484938694054077,0.6586087784156923,,0.496970176136274,0.6586087784156923,,0.5662344769937895,,0.5500365664828881,inf,m1
1978,14.485005688544582,0.4372018666758214,0.8732232952529767,0.9100377255051036,inf,0.8732232952529767,0.9100377255051036,0.2374810766275327,0.17183133815749763,0.22173595314338604,0.27088349358256136,m1
6074,14.975720568919805,0.1284317473375498,0.9738823671313941,0.8729210645437656,inf,0.9738823671313941,0.8729210645437656,0.051553134990552585,0.23800881507577898,0.11601380382896823,0.47585870264877517,m1
9145,1.1898857598237995,1.40406753505576,0.5206822928691097,0.9259603478778825,0.4307815030498613,0.5206822928691097,0.9259603478778825,0.7288899498925667,0.14259743415787085,0.7171878853907441,0.32721361028638185,m1
