,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1,bi
3841,0.666666667777776,0.6666666677777775,0.0085048946978289,0.7052151742214384,0.1542327702072948,1.4999941957492084,0.9827143869621413,0.0012066990574718037,1.6714772432716554,0.067123735779407,0.12648935783388862
1666,0.15813733173065653,0.6666666677777751,1.5000000012500072,1.4999999974771732,0.33175373295107635,0.010616610498854427,1.9780446226453516,0.7538172155533683,0.092334599401849,0.9166666632242787,0.6666666677777767
4098,0.2928570378474689,0.10350102671867546,0.8677959912581709,1.4993959944220636,0.00036205842227934177,1.453882311561821,3.770572167028208,6.666663904587865,0.3588131399701937,0.7313150956034256,0.44186463764750694
8322,0.4574820939486554,0.012546744464580465,1.0498209614897007,0.028434351176695617,0.03131111515734785,0.04995497496418586,4.846912475441157,6.078946481403707,1.168287372127968,0.01440135328839421,0.00022020669536298
3717,0.3583661805394848,0.6666666677777743,0.318767646513549,1.4999947068983972,0.002097955457912633,0.012851872707251263,0.7446976325384789,0.30983206663912566,0.014907044445368786,0.025905626228763703,0.0015574659673416784
7687,0.025614691997161928,0.6666666677777854,0.194540661388713,1.486093649483399,0.19522836262523344,0.02398163533371023,2.1333146588877883,0.011935279660922874,0.7716393531878574,0.028942064361695708,0.05161116686422348
3339,0.06378173025602042,0.6502584109989394,0.8241971345262695,0.021940484242002064,0.2622496117801165,0.0008568558830690879,8.222634655479247,5.144991868069608,0.16850055371925315,9.550025865454841e-05,0.006608498393418827
8205,0.14403650494449644,0.6666666677777775,1.4907281698999908,1.2505437068945937,1.4849422435341062,1.4211613512194363,1.6859323633444894,0.00016482573323801903,0.3523575478084442,0.00024853220564919997,0.012569130352206553
9102,0.008959343935928532,0.022929695735084007,0.6548349661296458,0.049389936948160774,1.4278055268182972,0.07108525387862458,9.136542255206479,0.00994974889869896,1.917502544183855e-05,0.0010469937910530026,0.47679593606442716
9357,0.2390402601134856,0.6666666396385714,1.0615110950961961,1.001868029443131,0.2776343604140442,0.1908758512341664,1.9911787000921175,0.025468652984042533,0.003753897390019654,0.028629635808472397,0.0016405924852705958
6416,,,,,,,,,,,
3347,0.3521109788986108,0.16904449141547442,0.0102110626826047,0.3877731443898916,0.040354598666203056,0.652686796473332,3.220617973546631,0.003318545173220366,0.9800102089431996,0.11493145465028007,0.16253243547885646
6804,0.5262352343676944,0.31884880897026924,1.4999474242835593,0.8453024794253476,0.005395587247058713,0.24490127261542213,1.7555540979827193,4.788650241922729,0.26082888535845966,1.3754652772685295e-05,0.16106749952662025
8725,0.5735051366578136,0.3565059899362018,0.18058999327188044,0.3249232294555632,0.08854313135701475,0.5946046929986446,2.7541172315897233,0.0067718736976653,0.000352861485041552,0.06729750123989439,0.5581599741548706
9109,0.5202422654057324,0.3200582594537221,0.2024193773466434,1.4640279124091402,0.0010896343943380112,0.0779443560475368,1.1381637215485836,0.2861366034589886,0.013470479594335505,9.705324472142456e-05,0.4648729067171209
8216,0.4902597720878715,0.5930175026284926,0.8621743772269062,0.4744819440814823,1.0817507364887022,1.4988013768520858,1.8968314893923723,0.05490651433306375,0.024018812266049027,0.11215467970343966,0.13941789172942037
5276,0.3594100697083622,0.6666666677777775,0.07350564049961737,1.4963826245367886,0.000600650226040565,0.007349886541113065,0.5856402721781491,2.1044834030158652,0.593458380957214,0.030932092303039817,0.07744729794501015
3101,0.3052997898656912,0.6666666677777783,0.4082357578172251,0.03143079729459141,0.03470078887830836,0.01167692679339049,0.8329054415446784,0.46986811736607303,0.21270765334350883,0.011204824292728705,0.0014173084100874754
3360,0.35092820655154394,0.36135129256959964,0.3359011102785825,0.1791085107443892,0.6481594497669251,0.07776815367629152,0.9122514628715208,0.2246730234991019,0.006933975717413996,0.5742780054778052,0.04391295701940389
2467,0.09964888900857158,0.36161147366089147,1.0331025266288094,0.42403500956914963,0.042522012356584274,0.39549826992660936,2.364268718208783,3.3482129380477934,0.35442867782617204,0.00853510167425102,0.0215662024290683
4132,0.43298890638256826,0.43041214471590983,0.5274702174839138,0.9932912639190874,0.009724185311628955,1.2565668217106767,1.9775280559275714,1.0900924502636473,0.13287428112225924,0.0039024234724402795,0.6448840304983732
5157,0.032354798382267284,0.4612065896627109,1.4242416041474644,0.1306388205767426,0.2456652143014879,0.20846471954467344,9.11111347768732,0.5113536309728424,0.00697279236698832,0.13450109033344404,0.046355287261327045
3110,0.273195721713342,0.3668176225855404,0.26806367843563317,1.2788916994274147,0.0012391857420705045,1.0846211833622308,0.8214000924957464,0.3595903144913566,0.014925819346694432,0.007159605977517299,0.31091521412661355
8103,0.23361545081636004,0.25030157544484904,1.2327332569978384,0.6289876093655118,0.12000504766570676,1.4704452368571217,1.9877203065864046,0.7924153301622222,0.9100548613226678,0.05916129681024929,0.22241480283166284
5161,0.659918462129253,0.439851680237926,1.2122554490350534,1.0541352836906723,0.6207416275861696,1.424178425190432,0.7207611304529665,1.2391761708922646,0.05689159440984273,0.6536868007713879,0.026261865659046743
3114,0.15097097367227058,0.5216217071159346,0.4733031225022731,1.3904146197545553,0.18711232799467098,1.4999969718527002,0.7519033749604508,0.01514455731610179,3.3349341893770206e-06,0.05252190571901026,0.6666666677777767
8106,0.3304040337013196,0.5603664734387854,0.39880747021450597,0.47647979001503854,0.002644180681390968,0.6339267392750179,1.2604797309943272,0.523933128336782,0.16857509311017094,0.001530031249501803,0.42482190166887823
3500,0.05523921393984305,0.52234956727843,0.09629561159188156,0.9052803594802917,0.11341394320603025,0.4248468121478503,6.456340163732425,0.5600471038274528,0.0006817906355254277,0.151482174236989,0.6499275350383873
3631,0.437507887239489,0.1587042968826495,0.27464424067999393,0.7235898005646368,0.08917718429508933,0.1520171118729754,6.574341812173239,4.747334609226271,0.5293352835571233,0.14388790482187436,0.00545754269371371
6450,0.1641588762454042,0.666666667777779,1.464740703507714,0.8023114595572421,0.11256363433115178,1.5000000012499979,1.7524413364425329,2.876218306953521,0.363433198309514,0.02873494296888498,0.6666666677777767
6067,0.3903874971397888,0.6638274327528633,0.5400911844232503,0.8794092355095231,0.3037914710922268,0.3800052493284134,1.3163017109842219,0.025421674166794167,0.00023505465581790186,0.19251556079111398,0.44299217686833897
8242,0.1877379097193343,0.058987046483567174,0.42985685389275047,1.3198506312354117,0.02645217980647489,0.3923088413509413,9.165660984300267,1.684443678705916,0.28373998424455027,0.7331706794049551,0.0021544178313968564
2101,0.07236517010342587,0.09112865416025687,1.2312693025776587,0.12419789972018912,0.0005459658049734848,0.680242211103369,9.004110093262957,0.13298016504983223,1.450895890237146,0.5743900549870267,0.4778248715235091
3895,0.22880673301506904,0.6666666677777767,0.9007720373576784,1.0144460085492848,0.09729766247711047,0.3723376744543145,1.5775395147954983,0.04835561415635608,4.328927993288359,0.11755655145651134,0.09685249334921033
2104,0.6666666677777767,0.666666667777776,0.4700676969601938,0.7999114464524429,0.0002838509128019008,0.00041298789493636354,0.31801915599882424,0.23653370095907034,0.2471411389613925,0.028133153064112366,0.6057450738629437
2105,0.09475269927329359,0.5030393148217722,0.31857261691383937,0.1453528009771297,0.004116942440373322,0.289711792672699,0.5863310371872074,0.47173762842329525,1.3169071869233537,0.0003027771600926814,0.12446349848350283
1978,0.6666666677777806,0.5968794688207604,0.7464479451782221,0.17707551244400804,0.2617502740122416,0.3666981839277219,0.6442435804028543,6.666666677777814,2.969451766898301,0.09543390946971556,0.08880929891412052
6074,0.6552986516294005,0.14220205227009802,0.12655871102885005,0.9372651382111742,0.0005751269806414805,1.5000000012500152,0.684274521289632,0.012090853248629112,7.250556681837688e-07,0.10520762455088786,0.04040653996279357
9145,0.5102772478149861,0.6666666677777743,0.34626143744937105,0.7019317019003806,0.0007645914705952549,0.05077733985256682,3.143239714510173,0.5321096246375925,1.0261342530327031,3.089533935230329e-05,0.1664046061395623
2111,0.03011872744815275,0.6515029151127704,0.5408027417867184,0.2350390859551101,0.041439999268240324,1.2809734347960537,0.38185556462079134,0.9902501043228327,0.029155783379051954,0.0024578668248128113,0.05232586313630617
5568,0.40802653787898197,0.08137697694717755,1.4797718292890765,1.4840892203851788,0.03919048165210377,0.5375477940615283,2.5363170079793167,0.042711548122049095,2.3380956263684958,0.3937305251759201,0.26751783251628025
3266,0.35898860152739054,0.31708125492970973,1.280774064685252,1.1918539879313317,0.6187319308343673,0.25638142279243975,1.148449314591142,1.4265618180755655,0.23910932551118858,0.487720131636502,0.005153517205060784
3652,0.17684381196292465,0.627456375308988,0.36095412861251747,0.9678070777342429,0.046748463784402595,1.4792382037849234,1.681313168657887,1.3833477446051834,0.10219556152261436,0.004329677801470131,0.48365841980260027
2886,0.07191830677597227,0.2364479673338305,0.4975654655409829,0.8608269735941716,1.4999923438466338,0.24699278837853142,9.16666666736111,6.666666677777822,3.3910453311457656,0.349935507230552,3.424489621236316e-05
4935,0.31133800195036493,0.17863216847766925,0.3471451386553267,1.5000000012500032,0.022973457910037253,1.5000000012499992,2.048385570621496,0.07097324805667912,0.020391130293214176,0.32800051820541976,0.15423388663599855
6086,0.0829088269343242,0.6586395205874089,0.1518720661251321,1.4718534763821494,0.030118768578959586,1.162520761228448,1.1237425515750674,0.2695210190802754,0.0016627375821074834,0.2165177270771459,0.3006826396763065
1100,0.041680594682448585,0.6666666677777688,0.2537896654347079,0.5721593828318774,0.19658676023497007,3.5797552643153634e-05,6.022152558693868,6.666666654950303,5.701208144127121,0.16414042099656895,7.663230323328717e-05
8013,0.09408772876713523,0.3917155706989057,0.3145232787183506,0.15856214178877923,0.030308186016861485,1.194281676021417,2.207303594793653,0.1853328568479085,0.0019269212890172392,0.25193071698604247,0.16168563381745932
4046,0.24470445244208952,0.6666666677777743,1.4999997971848644,0.7051524909294576,0.7690887802329147,1.2693032433964189,0.056404959428626195,1.6686540684191318,0.20092091025450662,0.05251825911476809,0.011929001701633383
6735,0.06811955630990153,0.6666666677777877,0.2461707357989637,0.06606883524408477,0.002616069318371725,1.1223578549923792,1.2323504733167452,4.7642678689124205,0.08341191302127794,0.04071018103631528,0.6666647920704091
