,blasts_train,leuk_train
3841,8.633975508354942,0.6730707663075166
1666,2.1324370075689805,1.1862148412485927
4098,22.323270839961335,0.452845674494738
8322,2.353856644813584e-05,0.15389820167475288
3717,1.8901124804628404,0.48719586070808013
7687,0.706029004455974,0.48330503560715365
3339,10.791339391929808,0.1045316553128898
8205,4.668142674156673,0.8105846709940906
9102,inf,inf
9357,11.38890226452439,0.7527712308087455
6416,inf,inf
3347,16.18187506520681,0.2041921693129205
6804,22.69959513321423,0.634469428984675
8725,17.352224104640047,0.41737527099713356
9109,2.081805438963244,0.330323242740071
8216,1.2953402638157112,1.2694470293510856
5276,8.332738466085651,0.45927446740605277
3101,1.0278446086189454,0.6663905624927969
3360,10.370076308015342,0.09657459156676962
2467,2.0136922920782387,0.668509147418968
4132,2.342416854974692,2.986153737445632
5157,11.21135353077033,0.6564902089837203
3110,1.8537704662705439,0.24694679440494702
8103,5.025046881699535,0.000565969742395046
5161,1.0531013962496647,0.3523885831673475
3114,inf,inf
8106,1.1913033040883458,0.5309259860026888
3500,5.527105826618799,0.06836828906672388
3631,6.493674626452239,2.240956821436743
6450,14.061397816171,0.4465391426100583
6067,inf,inf
8242,12.522960881901751,0.20542311993850484
2101,2.4556120731978552,1.2987834165241112
3895,1.0522836831276299,0.5131361388617635
2104,0.9358614268493344,0.08717022114290178
2105,2.500000000000835,0.2452767245227023
1978,9.119798007819648,0.3913595237057819
6074,0.7718677559787752,0.025474043145967445
9145,0.3425540332590394,1.370039834467994
2111,9.180990148755079,0.27477350880968165
5568,1.7381418342205774,0.33666033722400224
3266,2.269137569447437,1.2661903434749635
3652,0.9013236728991542,0.7259749633240232
2886,0.5941802563010019,0.24248183612549615
4935,10.997766913655152,0.39701755802905225
6086,4.881393607019816,1.0207933847760107
1100,1.9343329102339657,0.6627628883888759
8013,27.78825384760043,0.6022399162615011
4046,0.3266458762195164,0.024953384713435244
6735,1.4735592894739662,0.5163085752692229
9553,17.445204139149695,0.32772264984434524
4181,5.092767225849081,0.35056667458224855
8917,5.147004271180742,0.1401137077619409
8793,4.077508294129699,0.5486863655323309
7643,1.09656017867976,0.4018689433970836
7773,17.764238584493565,0.8849196456088909
9823,8.273872888837873,0.22373116159113532
7908,inf,inf
4838,inf,inf
5478,0.7376149934076174,1.8114247679170963
6374,3.6921074188595346,0.3591411010050593
7402,4.51632890002668,0.32047425776093325
3947,5.279965260409531,1.7057185810129605
2927,3.4740439535322047,5.147008408347096
1393,22.852822057125337,0.1985420870347912
5874,0.00018442414625870513,0.5153148616253553
7537,2.832477862488115,0.7361574710350974
3447,2.0231324890493303,0.39929324324542664
9851,0.6218405809041903,0.5211751627209702
6780,2.101397247151595,0.26617936091449584
8574,0.0033478899159732605,1.4332970291329212
