,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0
3841,0.35179089291690474,0.36469855912606747,0.12179409515201292,0.37266367865937206,0.019594834825996683,0.05153921535994287,1.1057151327675698,0.0006277021807205602,1.7179593705300302
1666,0.16534711160280394,0.666666667777776,1.1880413283915607,1.1448747832849326,0.3185638818282296,0.5304674049287059,1.859498629019726,0.3500767345306098,0.4511338752184845
4098,0.11025414846210006,0.5443615862009551,1.1450182616736782,1.0064761458097795,0.08278713821708752,0.5305937969144892,1.772292938722515,0.696311126194884,0.08668745778040701
8322,0.5938602883281694,0.654589532989868,0.16128737328540924,0.44647814681602593,0.057723919938400085,0.2018190195597953,0.34188249414902616,0.5000000857765698,0.00016272200039229315
3717,0.2027071998090429,0.666666667777776,0.4279549633685642,0.40428860552836476,0.09474131719182775,0.029608518128982117,0.7828432305125087,0.7399084829265278,0.25696457357468516
7687,0.025530082516519195,0.6666666677777814,0.2921945386924344,1.5000000012499979,0.19524699911963248,0.032353653489373975,2.1296800360576316,0.09253902020184641,0.7686365367223837
3339,0.26031378661673954,0.07305969760184168,0.1375108141904253,1.5000000012500072,0.0005732809695636064,1.5000000012500019,9.16661479958164,0.39549766897352284,0.14888784857985354
8205,0.13635703273350305,0.6666666358374612,0.31685007850882524,0.3919446390129416,1.3712187565804834,0.015199678542822385,1.8345718113076173,0.11127257930174941,0.2458629026576627
9102,0.18711337882515489,0.2780963306325675,1.4958676918673706,1.4822894925409562,0.08386925914665667,1.5000000012499992,9.166666667361115,0.6905387293426216,0.01793068820106447
9357,0.006950695365566795,0.0281095708237432,1.4873409801435633,3.3806817776385015e-05,0.03458758131207362,1.413589018311504,4.142520306955971,0.3496394019988481,1.6820527169809194
6416,0.19461230169155236,0.6666664413287311,1.4445153365975525,1.3157249362396113,0.5891451890447799,1.3859487902291738,1.226718947398542,0.33356453018152815,8.798573904761579
3347,0.17161688458164637,0.2954400006824812,0.18800495313382407,0.24741863313709192,0.23525535167340597,1.1245547090843808,5.6554502246223155,0.20815093231104295,0.9800036146348787
6804,0.17861240470152726,0.6660906708746508,0.22490642308887707,1.3933902109749836,0.09505303042755527,0.6597972459131007,1.766866447114982,0.7134503473821303,0.022741757792973563
8725,0.306561626640335,0.5231902296561749,1.445004255529227,1.0430015794896663,0.11540017246564216,1.499999986478527,1.5671507263422726,0.4277618704612901,0.35550339740531134
9109,0.6666559062133104,0.10469977152588981,0.44895939645559135,0.37277276819344773,0.0012622375050224286,1.4819459041665217,1.8714237870727417,0.7994181017506878,0.23200113713557952
8216,0.006332693818491819,0.6666666677777854,0.319561827842631,1.0650558678907336,0.48783771100890094,0.24285887479391094,8.807889802108752,0.29954961776623373,0.0070306939347562145
5276,0.01361789332726249,0.3477064680325207,0.8388533258513683,0.49385801707032284,0.12687818469972834,0.05196505097239596,3.7560552747165876,0.370020450597181,0.5121339123297024
3101,0.4591949894577309,0.4811672887108848,0.2869798605033062,1.4999998507362855,0.07670756130880185,0.8893974203905627,0.8438244036970416,0.22696221031825697,0.05210062645644709
3360,0.23022348550469837,0.631047065890977,0.7066473010339654,0.6707286650789561,1.2630406235382805,0.617194595317617,0.5330985443902142,0.7940959273784493,0.05404902250973536
2467,0.666666662645836,0.6666666507499475,0.343873888278628,1.3034083854578418,0.08096732855840413,0.02646222218772502,1.7194395749515188,0.29227127066514685,0.7919001818697863
4132,0.05960228321795571,0.666666667777776,0.38689076067308015,1.1541940187016797,0.01276660336218936,0.07637250588184487,2.8832048702489086,0.20603256360366212,0.00020303714802811474
5157,0.5863955273792064,0.6666664099296776,0.32240371842614624,1.2073033030984688,0.03192170900708971,1.4999996635203903,1.0693436442620832,0.501229485008043,2.726372724944155
3110,0.6531701118887328,0.09584616804414613,0.4689974197254034,0.0016969401073842311,0.0032988055304283546,0.4521560398117189,0.892557951008936,0.720030068666266,0.010447076051775103
8103,0.1894992129576637,0.6666666677777767,0.24274020653150313,1.0856409461697496,0.15152857397414005,0.2699762834164342,0.6551485787307911,0.08062076099250619,0.9042980827261013
5161,0.21359113552768627,0.6666662029837792,0.495790856852689,0.042664142719139674,0.983814375892884,1.4341847362007203,0.4766472064038694,0.8494495174130707,0.16573175643349716
3114,0.14672463475251488,0.6287445203663418,1.025374065238862,1.292993232978984,0.23786288417242174,0.5626362537461715,0.6688274715800762,0.6017908162872794,0.03977221951761095
8106,0.09353486079206093,0.6666666677777814,0.3225316452148536,1.242886688839737,0.34603691864879466,1.2965878324148234,2.992555737205672,0.2986763719750162,0.22367342916158467
3500,0.2429752373447199,0.666664102220488,0.31515815428854027,0.5538969508390013,0.7578843810952833,0.48303492296582273,0.9346030849340619,0.9156077640882663,0.03984226529777088
3631,8.378903947391195e-07,0.009706710939853369,0.29135819405077534,0.5177222914272588,0.004423118668117193,1.4364605380774864,0.0040889426965153635,0.5826368532530795,1.9488644781775566
6450,0.15676732079500627,0.6666666677777648,0.3208078923907298,0.4868923432818763,0.08768200442629223,1.5000000012499792,1.778462823110485,0.34843654845994093,0.005052975772552353
6067,0.5956107666574653,0.010059949630108336,0.6472137126521428,1.2248858046343456,5.639159333049325e-07,0.01449697474692088,2.095239595355293,0.7075498782435435,0.33905870798218796
