,ktr,gam,slope_ven,B,Xl1,B0,p1,bi
3841,0.25237032326182146,0.0024778460313837746,0.0006246547699816763,7.97375826992829,3.445981295842057e-07,0.9670051377089448,0.06954272323601136,8.217512704635287e-05
1666,0.19306277865358934,0.5000000024999984,2.766279898939387,1.9559531996787693,0.34937643241605726,0.17797861668612,0.04689972476273957,0.0001800190060380781
4098,0.09416101095966672,0.30891056361040486,0.4401523692388899,1.7690457851136814,0.16776877265883808,0.1636064542783751,2.424404521327133e-05,0.0028679502388943667
8322,0.12219959848521364,0.42562176483730674,0.5381935975272302,0.1646196335163633,0.5000001067552821,1.3809171942184342,0.04391869398555222,0.010918949801270993
3717,0.22254272980781578,0.4908001127677421,3.2291168366647263,0.6865175119280273,0.7396503083918269,0.2666881464262586,0.04368016319205621,0.22363711953250007
7687,0.3636303625388179,0.4655894278981262,2.8205105820257903,0.517450799793821,0.08792143335213289,0.9758619982169434,0.020599192699815607,0.1526730540775413
3339,0.5000000024999993,0.01997684163954983,0.7210246085148397,1.134976475612815,0.4011987757993426,0.320058663375806,0.0034596762458788104,0.042070206071668795
8205,0.18681269580355658,0.5000000025000002,4.166666668055555,1.4294037148332621,0.07878937996561397,0.2642013517106074,0.000836817745600139,0.05438344307415653
9357,0.30865327644686513,0.4999685572391993,4.166666668055558,1.1540680804026746,0.06642475558957515,0.23237958402131384,0.001194591315179791,0.038847813212160236
3347,0.21172879780565773,0.21736175923538908,0.9625455338071822,7.081776431178424,0.1942899164302664,0.9800039261916262,0.08546720801920839,0.0008338579388316178
6804,0.1972066635534713,0.5000000024999993,1.9484810645795017,6.627014284232718,0.7755563909382334,0.798586493046336,0.04962904764744871,0.41168681055949696
8725,0.08199405457260807,0.3713766818408552,0.30654062860998277,1.4193896789098228,0.005399175485202015,0.2450472459605687,0.007693858335123341,0.4999999221497555
9109,0.500000002499986,0.2958729534905891,2.6012341343410057,1.3059881800857527,0.7998697481286938,0.1629381388913781,0.06794697762631981,0.006449503950393913
8216,0.41501241396709715,0.459161083282438,2.9447631136359997,1.8643798683265915,0.29774366208088243,0.4380621707801189,0.032476542033248776,0.009314221889659984
5276,0.49999938942724853,0.14939992904732013,0.013930303986423406,0.3665189005653732,0.2644508703280226,0.6394703240138353,0.0007233699803564002,0.06436761144001384
3101,0.43788524026969006,0.49468087474135675,3.013504323421474,0.6269699349655545,0.11873201064603672,0.7632671954706525,0.007234337397323088,0.004133285881818938
3360,0.21052612212873076,0.499999996733794,2.3730012974160832,0.6727387391304935,0.8000262407667573,0.057897806670574814,0.11831634676600142,0.0015730554138941742
2467,0.2626083309214459,0.4972407547540484,4.162535438223624,1.3373813782267057,0.15328974695540173,0.6909539017799499,0.011192406609445062,0.10661461735020589
4132,0.07838377082892593,0.500000002500002,3.051981976794513,5.957847600268975,0.05223545074169423,0.733475511641311,0.3220344987877526,0.36315164914804177
5157,0.4075204178593776,0.4835735219024421,3.5653340548534262,0.5873671532545541,0.5378380388789994,0.5025173913768992,0.0161313573907533,0.08737035041911173
3110,0.00010001485468713771,0.15000894135369156,3.2913051491480205,2.894569593847672,0.7199051074246415,0.769731317398664,0.04511328905070068,0.19912378699264002
