,blasts_train,leuk_train
3841,8.503975418980842,0.9243916152286258
1666,1.3605150832533919,1.247465085883383
4098,22.49463973679434,0.4631399597274668
8322,4.3185161028694476e-05,0.05610141745363353
3717,1.8222252631461293,0.5592769596566931
7687,0.6994433431453332,0.47407415720352025
3339,10.73235279885732,0.0962533670127379
8205,2.335958539275311,0.32747184977525046
9102,inf,inf
9357,11.41736294242367,0.7160945919948696
6416,inf,inf
3347,13.773731856134056,5.253860523150847e-05
6804,29.75939981489478,2.089218367508294
8725,17.91764922257025,0.4716427560518179
9109,2.1042314328284144,0.36253927900415966
8216,1.3372850065113522,1.2608874527503278
5276,7.681711008806408,0.16684714926435693
3101,1.0647208616885533,0.6671414030161614
3360,8.426944983379194,0.7361793810682357
2467,2.0244184289093465,0.6259701704387712
4132,2.1851553725620594,2.998012935324507
5157,11.211353421719638,1.9115594212157687
3110,1.8392883307060797,0.2535397557646273
8103,4.9603625762798895,0.001890787202055677
5161,0.8576903442564168,0.28087362003220645
3114,inf,inf
8106,1.194490298322337,0.5245008809120053
3500,5.551181350495415,0.05744059353777524
3631,6.4155695435538345,2.206820229307776
6450,12.665569136258238,1.031300939159839
6067,inf,inf
8242,13.15400500945877,0.21426747233561755
2101,1.3052135407142675,1.2241913239376139
3895,1.0758769322678055,0.513436296305062
2104,0.9494026647961852,0.0883489946356198
2105,0.0027790621684661804,0.246741450424201
1978,14.509156499910166,0.2792068232862907
6074,1.3345525956490962,0.04913578938573786
9145,0.3727681063633159,1.5664156996407548
2111,11.000625312298595,0.1963234904316231
5568,2.1944169329021914,1.2167801872185948
3266,1.5368749403113848,1.17056706570095
3652,0.9193131743843382,0.8756217724576173
2886,0.5955231600225427,0.24083281243069254
4935,2.524613448295131,0.42803187819263233
6086,5.004853385678787,1.0386072924224867
1100,2.0321917334372515,0.6456016649670466
8013,27.869015753339124,0.5992628547259865
4046,1.481564757472594,0.017184415217667125
6735,1.4999488659652185,0.48872240792739474
9553,18.54312486068949,0.3204888866070945
4181,4.965499151080898,0.21658596658005808
8917,5.570192419598485,0.10944853579390335
8793,4.0736692216976325,0.4773609615807559
7643,1.1201982522467988,0.3923534397267903
7773,13.473235416668432,1.670364844924683
9823,7.074483933660701,0.215405060036184
7908,inf,inf
4838,inf,inf
5478,0.7386975111560501,1.8717074519810917
6374,3.698544534537002,0.3834372994903567
7402,0.9479982621762599,0.2888142910988451
3947,5.532251784577644,1.2520830216024896
2927,33.33211140214958,4.052385835763084
1393,1.5820672353161416,0.10793863113132965
5874,4.7964050021587455e-05,0.48499987544720624
7537,2.7609611547625157,0.7610165681263947
3447,2.1080398987689946,0.3879024774072272
9851,0.6618542243173625,0.5201697938590997
6780,2.1196107247316065,0.2642835154906801
8574,3.0839256197030602,0.31359193661501233
