,ktr,gam,slope_ven_wbc,slope_aza_wbc,B,B0
3841,0.2969807885754822,0.6666666677777775,0.00014720192847375455,8.571428573469383,0.9388470466558777,1.6819970247639486
1666,0.16025958088150316,0.6666666677777775,1.936398847796664,0.01860229171428782,1.7711737682670643,0.47591140482898286
4098,0.15210679307787556,0.33113703369530123,5.588818835185588e-05,8.57142856816718,1.878219773923824,0.5066619254676202
8322,0.0912581148582515,4.941620002348776e-05,0.8786673404270889,2.805077002853829,1.2366614437990884,1.101986817061642
3717,0.17847551353690796,0.666666667777783,0.36068463223566266,0.0008289145572732397,0.7629991511420691,0.25845207253344316
7687,0.03473209869354191,0.666666667777779,0.42297063013857605,0.0013549997753886604,1.28829787899599,0.8109700065839454
3339,0.5590663333232524,0.47912029129562983,1.0801532230005322,1.035124773395148,0.2823342019309967,0.2802620194125004
8205,0.11632176069895353,0.6666666677777775,3.4424151906220626,8.571428573469392,1.7881818894776653,0.44042415494919684
9102,0.1055269266252149,0.6666645633862274,5.678432593010768,0.17926688067868662,3.190048532900241,0.001797221803063372
9357,0.2327943263945024,0.5370246452547204,3.40234133666981,1.0214013393198598,1.8500576285963155,0.05748188756062623
6416,0.3672878134957933,0.14306570773191912,0.3787688460003966,8.571428573469401,6.08640541345096,11.059473108453329
3347,0.11435963234683975,0.5211515662478355,0.9480300756313699,1.2618027431395156,1.0990737417338994,0.9799999495634077
6804,0.13240754126566628,0.6666666677777783,0.2758211547439764,8.571428573469383,1.7498198821908486,0.4585006570625824
8725,0.005570596553711842,0.00024059276887613423,5.17363655299425e-05,8.57142857346951,1.9285709354569283,0.2547061063759282
9109,0.14042801270082927,0.5106473723535697,0.01834432795051561,8.571428573469392,1.3865577765375685,0.007937215000564402
8216,0.331085275823597,0.6666666677777767,0.6982545956579994,8.571428573469369,2.016407640619586,0.4770258419457251
5276,0.2635827831606802,0.6666666677777822,1.0013201919616046e-07,8.571428573469431,0.4700351695850594,0.643833072800923
3101,0.2042716522678714,0.6087635338001489,0.202401514305911,7.2575036626445,0.7642480142452442,0.22064554959108681
3360,0.19209838125984505,0.6459910387971545,6.1571268887404855,0.21951920765061098,0.5406725086295798,0.06347810743016948
2467,0.5896011971924752,0.6666666677777735,0.6388358307487976,0.00021085161014128617,1.6866585453303482,0.7998309564839976
4132,0.045556028132176525,0.05333916954774077,2.489887011668038e-06,3.727151176369199,5.984977355393421,0.6718184950476217
