,blasts_train,leuk_train
3841,9.757701511936695,0.7768011637696904
1666,1.3014099916536654,1.2463094392210707
4098,22.22727524482407,0.4911384338666839
8322,1.0386576584886044e-05,0.043740914048725044
3717,5.6637366743547055,0.5362312135462319
7687,0.6918688106127368,0.47018528293240897
3339,10.797522784847953,0.10231193712726615
8205,2.3286222118462647,0.32189499110227243
9102,9.141031567560027,1.674469595138995
9357,11.327738585621836,0.7170125353010431
6416,inf,inf
3347,15.738849439652096,0.0013479137894800448
6804,31.213266420473808,0.8690322653802122
8725,17.601197891016962,0.41397130621382633
9109,2.3833114559743835,0.3318513236242581
8216,1.2915245263619681,1.2496251417132596
5276,25.783047202869884,0.0859901559706677
3101,1.0273715922200488,0.6642200164617975
3360,1.2268066422630024,0.2746667847762546
2467,2.0305926470943705,0.620231064508077
4132,2.348727342363317,2.941388573781138
5157,11.211355776419873,1.9089996038335906
3110,2.6691350912896534,0.2801163429816581
8103,4.966527515391958,0.0025708654192304033
5161,2.236068639079518,0.2821679205395063
3114,6.307537941590037,0.11368327655740261
8106,1.1900612531310517,0.5164658485177022
3500,5.567338105920383,0.07786094104866861
3631,6.518870931969428,2.171107167535905
6450,6.03457443568177,0.7701813576992946
6067,2.315956953494167,0.4465637485604636
8242,13.154003207850426,0.21322170906041193
2101,2.499999754516966,1.2769355684824508
3895,2.147169687415246,0.5134493675768074
2104,0.9370240745120377,0.08726759133731915
2105,0.005399218503702005,0.24482832602315244
1978,14.547877991628356,0.26651435071364016
6074,0.785206869328107,0.03103458456731539
9145,0.3357603833027162,1.370468607155122
2111,9.03006508055371,0.5898034808020557
5568,2.394128784433786,1.2366880391255806
3266,2.0342116388801617,1.2351206398318613
3652,2.1652625245916335,0.7081008417066
2886,0.5935339913611233,0.001891660249890077
4935,10.83705432502137,0.39847575980776123
6086,5.002661802917028,1.0568293531604076
1100,1.8894509433943583,0.6443687948418395
8013,27.849724295508732,0.5974504511477204
4046,1.4693208565115345,0.016980802476798677
6735,4.466634118829803,0.34341762694953115
9553,18.404866187208995,0.4773739069535955
4181,6.340832853064805,0.21709100223881814
8917,8.611562714528771,0.08454552667678304
8793,4.184946202273148,0.5761566646650456
7643,1.107748144072848,0.3853083056535417
7773,13.429326952466154,1.8070408257673165
9823,13.305117400851774,0.2297076817669029
7908,6.937650377001426,0.20389204713517098
4838,23.003070982325127,0.871162335641891
5478,0.7274208805575485,1.7460303341806236
6374,3.66576641042991,0.3615546126313031
7402,4.438828641274984,0.32000404747283706
3947,5.286775988349628,1.329439512778745
2927,3.320386567779388,4.150775714875762
1393,1.580424508254671,0.19133231389203628
5874,0.0001330247443978774,0.4794382528495221
7537,2.772519257061145,0.7969565997749178
3447,2.1754761912936926,0.3842316901837985
9851,0.6201995535229854,0.5202764280536045
6780,2.33853604143414,0.2815652414483509
8574,2.027640459179089,0.4162269082310477
